cluster,sex_M,address_U,famsize_LE3,Pstatus_T,schoolsup_yes,famsup_yes,paid_yes,activities_yes,nursery_yes,higher_yes,internet_yes,romantic_yes,school_GP,school_MS,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_other,reason_reputation,guardian_father,guardian_mother,guardian_other,age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
0,0.38,0.824,0.247,0.894,0.133,0.624,0.49,0.522,0.839,0.984,0.843,0.318,0.91,0.09,0.125,0.098,0.345,0.278,0.153,0.059,0.055,0.522,0.271,0.094,0.333,0.286,0.075,0.306,0.247,0.69,0.063,-0.137,0.122,0.083,-0.125,0.252,-0.265,0.106,-0.201,-0.334,-0.426,-0.495,-0.123,-0.113,0.274,0.27,0.23
1,0.643,0.693,0.364,0.9,0.121,0.593,0.4,0.486,0.714,0.886,0.814,0.364,0.836,0.164,0.193,0.064,0.379,0.229,0.136,0.036,0.029,0.6,0.3,0.036,0.429,0.257,0.121,0.193,0.193,0.693,0.114,0.25,-0.222,-0.151,0.228,-0.46,0.483,-0.193,0.365,0.609,0.776,0.901,0.223,0.206,-0.498,-0.492,-0.419
